Player,Span,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s
SS Cottrell,2020-2020,6,1,0,0,0,0.00,2,0.00,0,0,1,0
JL Denly,2019-2019,1,1,0,0,0,0.00,1,0.00,0,0,1,0
ND Doshi,2011-2011,3,1,0,0,0,0.00,13,0.00,0,0,1,0
C Ganapathy,2010-2010,1,1,1,0,0,0,0,0,0,0,0,0
Sunny Gupta,2012-2012,1,1,0,0,0,0.00,1,0.00,0,0,1,0
JW Hastings,2014-2016,4,1,1,0,0,0,0,0,0,0,0,0
U Kaul,2008-2008,5,1,1,0,0,0,1,0.00,0,0,0,0
S Kaushik,2016-2017,10,2,1,0,0,0.00,1,0.00,0,0,1,0
S Lamichhane,2018-2019,9,1,0,0,0,0.00,1,0.00,0,0,1,0
CK Langeveldt,2009-2010,4,1,0,0,0,0.00,1,0.00,0,0,1,0
RP Meredith,2021-2023,18,3,3,0,0,0,3,0.00,0,0,0,0
TS Mills,2022-2022,5,2,1,0,0,0.00,3,0.00,0,0,1,0
A Mukund,2008-2008,2,1,0,0,0,0.00,1,0.00,0,0,1,0
C Nanda,2009-2009,3,1,0,0,0,0.00,1,0.00,0,0,1,0
A Nel,2008-2008,1,1,0,0,0,0.00,0,0,0,0,1,0
IC Pandey,2013-2015,27,1,0,0,0,0.00,2,0.00,0,0,1,0
V Pratap Singh,2012-2012,9,1,0,0,0,0.00,1,0.00,0,0,1,0
Y Prithvi Raj,2019-2019,2,1,1,0,0,0,1,0.00,0,0,0,0
DS Rathi,2025-2025,1,1,1,0,0,0,0,0,0,0,0,0
R Sanjay Yadav,2022-2022,1,1,0,0,0,0.00,2,0.00,0,0,1,0
KR Sen,2022-2024,12,1,1,0,0,0,3,0.00,0,0,0,0
TP Sudhindra,2012-2012,3,1,1,0,0,0,0,0,0,0,0,0
K Yadav,2021-2023,3,1,1,0,0,0,4,0.00,0,0,0,0
Yash Dayal,2022-2023,14,1,0,0,0,0.00,1,0.00,0,0,1,0
P Amarnath,2008-2008,6,0,0,0,0,0,0,0,0,0,0,0
SS Agarwal,2017-2017,1,0,0,0,0,0,0,0,0,0,0,0
Akash Singh,2021-2023,7,0,0,0,0,0,0,0,0,0,0,0
Anand Rajan,2011-2013,8,0,0,0,0,0,0,0,0,0,0,0
S Badree,2013-2014,5,0,0,0,0,0,0,0,0,0,0,0
SM Boland,2016-2016,2,0,0,0,0,0,0,0,0,0,0,0
RR Bose,2009-2009,1,0,0,0,0,0,0,0,0,0,0,0
N Burger,2024-2024,6,0,0,0,0,0,0,0,0,0,0,0
MJ Dagar,2023-2023,3,0,0,0,0,0,0,0,0,0,0,0
CJ Dala,2018-2018,1,0,0,0,0,0,0,0,0,0,0,0
KH Devdhar,2011-2011,1,0,0,0,0,0,0,0,0,0,0,0
P Dharmani,2008-2008,1,0,0,0,0,0,0,0,0,0,0,0
Gagandeep Singh,2008-2008,4,0,0,0,0,0,0,0,0,0,0,0
B Geeves,2008-2008,2,0,0,0,0,0,0,0,0,0,0,0
R Goyal,2023-2023,1,0,0,0,0,0,0,0,0,0,0,0
CJ Green,2020-2020,1,0,0,0,0,0,0,0,0,0,0,0
Gurnoor Brar,2023-2023,1,0,0,0,0,0,0,0,0,0,0,0
RS Hangargekar,2023-2023,2,0,0,0,0,0,0,0,0,0,0,0
Harmeet Singh,2013-2013,1,0,0,0,0,0,0,0,0,0,0,0
JR Hazlewood,2020-2021,12,0,0,0,0,0,0,0,0,0,0,0
MJ Henry,2017-2024,6,0,0,0,0,0,0,0,0,0,0,0
D Jansen,2023-2023,1,0,0,0,0,0,0,0,0,0,0,0
S Joseph,2024-2024,1,0,0,0,0,0,0,0,0,0,0,0
V Kaverappa,2024-2024,1,0,0,0,0,0,0,0,0,0,0,0
K Khejroliya,2023-2023,2,0,0,0,0,0,0,0,0,0,0,0
SC Kuggeleijn,2019-2019,2,0,0,0,0,0,0,0,0,0,0,0
JB Little,2023-2024,11,0,0,0,0,0,0,0,0,0,0,0
SSB Magala,2023-2023,2,0,0,0,0,0,0,0,0,0,0,0
KT Maphaka,2024-2024,2,0,0,0,0,0,0,0,0,0,0,0
LI Meriwala,2021-2021,1,0,0,0,0,0,0,0,0,0,0,0
S Midhun,2019-2019,1,0,0,0,0,0,0,0,0,0,0,0
T Mishra,2012-2012,1,0,0,0,0,0,0,0,0,0,0,0
Mohammed Siraj,2017-2025,7,0,0,0,0,0,0,0,0,0,0,0
Monu Kumar,2020-2020,1,0,0,0,0,0,0,0,0,0,0,0
SS Mundhe,2011-2011,1,0,0,0,0,0,0,0,0,0,0,0
MG Neser,2013-2013,1,0,0,0,0,0,0,0,0,0,0,0
L Ngidi,2018-2021,14,0,0,0,0,0,0,0,0,0,0,0
MB Parmar,2010-2010,1,0,0,0,0,0,0,0,0,0,0,0
M Pathirana,2022-2024,20,0,0,0,0,0,0,0,0,0,0,0
RV Pawar,2008-2008,1,0,0,0,0,0,0,0,0,0,0,0
IC Porel,2021-2021,1,0,0,0,0,0,0,0,0,0,0,0
RW Price,2011-2011,1,0,0,0,0,0,0,0,0,0,0,0
Prince Yadav,2025-2025,1,0,0,0,0,0,0,0,0,0,0,0
V Puthur,2025-2025,1,0,0,0,0,0,0,0,0,0,0,0
AM Salvi,2009-2011,8,0,0,0,0,0,0,0,0,0,0,0
S Sandeep Warrier,2019-2024,10,0,0,0,0,0,0,0,0,0,0,0
GS Sandhu,2015-2015,3,0,0,0,0,0,0,0,0,0,0,0
K Santokie,2014-2014,2,0,0,0,0,0,0,0,0,0,0,0
SS Sarkar,2009-2009,2,0,0,0,0,0,0,0,0,0,0,0
RA Shaikh,2009-2009,1,0,0,0,0,0,0,0,0,0,0,0
M Siddharth,2024-2025,4,0,0,0,0,0,0,0,0,0,0,0
NB Singh,2017-2017,2,0,0,0,0,0,0,0,0,0,0,0
PH Solanki,2022-2022,2,0,0,0,0,0,0,0,0,0,0,0
Suryansh Shedge,2025-2025,1,0,0,0,0,0,0,0,0,0,0,0
P Suyal,2013-2015,5,0,0,0,0,0,0,0,0,0,0,0
Suyash Sharma,2023-2024,13,0,0,0,0,0,0,0,0,0,0,0
Tejas Baroka,2017-2017,1,0,0,0,0,0,0,0,0,0,0,0
Yash Thakur,2023-2024,19,0,0,0,0,0,0,0,0,0,0,0
O Thomas,2019-2019,4,0,0,0,0,0,0,0,0,0,0,0
N Thushara,2024-2024,7,0,0,0,0,0,0,0,0,0,0,0
V Vyshak,2025-2025,1,0,0,0,0,0,0,0,0,0,0,0
DJ Willey,2018-2018,3,0,0,0,0,0,0,0,0,0,0,0
MP Yadav,2024-2024,4,0,0,0,0,0,0,0,0,0,0,0
